customer_nr,mcc,hr_arvl_tusc,day_of_wk_arvl_tusc,mon_arvl_tusc,day_arvl_tusc,loc_arvl_tusc,hr_arvl_italy,day_of_wk_arvl_italy,mon_arvl_italy,day_arvl_italy,loc_arvl_italy,locs_outside_tuscany,unique_locs_outside_tuscany,start_lat,start_lon,end_lat,end_lon,hrs_in_italy,hrs_in_tusc,avg_lat,avg_lon,top_lat,top_lon,std_lat,std_lon,hrs_outside_tuscany,start_lat_tusc,start_lon_tusc,num_unique_loc_in_tusc,num_loc_in_tusc,num_unique_loc_in_italy,num_loc_in_italy,st_time,en_time,total_time,forest,water,river,park,arezzo,florence,grosseto,livorno,lucca,pisa,pistoia,siena,coast,num_attrs,country,label
8649998.0,216.0,17.0,4.0,11.0,2.0,57340012.0,13.0,4.0,11.0,2.0,36135031.0,255.0,162.0,45.7481,13.6661,45.7006,13.8342,72.0,63.0,43.915218,11.347805,43.7863,11.2353,0.622932,0.469594,9.0,43.9908,11.2144,182.0,590.0,344.0,845.0,1509629040000000000,1509890760000000000,2852.0,0.0,0.0,0.0,0.0,0.0,2281.0,0.0,0.0,0.0,0.0,0.0,196.0,0.0,0.0,Hungary,2.0
8641167.0,216.0,23.0,5.0,11.0,3.0,3041551.0,20.0,5.0,11.0,3.0,47240032.0,135.0,49.0,44.559,11.2691,43.7012,10.4012,63.0,60.0,43.810254,11.212457,43.7794,11.2557,0.250654,0.230725,3.0,44.0451,11.1551,157.0,849.0,206.0,984.0,1509739320000000000,1509967080000000000,2396.0,0.0,0.0,0.0,0.00015475254469050643,0.0,1730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Hungary,2.0
8651742.0,216.0,6.0,4.0,11.0,2.0,3000041.0,1.0,4.0,11.0,2.0,2526238.0,5.0,5.0,46.525,13.6143,44.0451,11.1551,69.0,64.0,42.3374,12.530322,41.8926,12.4935,1.291657,0.706782,5.0,44.029,11.1305,9.0,14.0,14.0,19.0,1509585240000000000,1509834300000000000,4118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hungary,1.0
8660043.0,216.0,17.0,5.0,11.0,3.0,3032202.0,13.0,5.0,11.0,3.0,2511731.0,97.0,78.0,45.834,13.1035,45.8174,13.1431,100.0,92.0,42.598126,12.169627,41.8259,12.5833,1.233229,0.632083,8.0,44.0757,11.2259,44.0,65.0,122.0,162.0,1509717000000000000,1510078860000000000,5466.0,0.0,0.0,0.0,0.0,0.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hungary,1.0
8661203.0,216.0,19.0,1.0,11.0,6.0,57080012.0,13.0,1.0,11.0,6.0,2526597.0,434.0,198.0,46.605,11.5102,46.8768,11.4279,57.0,40.0,43.682734,11.887729,42.1408,12.6086,1.524805,0.678521,17.0,44.0757,11.2259,44.0,102.0,242.0,536.0,1509976140000000000,1510184700000000000,2523.0,0.0,0.0,0.0,0.0,0.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hungary,1.0
8661369.0,216.0,12.0,6.0,11.0,4.0,3032251.0,12.0,6.0,11.0,4.0,3032251.0,0.0,0.0,43.7768,11.2611,43.5514,11.5411,4.0,4.0,43.77469,11.25222,43.7679,11.2609,0.024422,0.044766,0.0,43.7768,11.2611,12.0,17.0,12.0,17.0,1509798180000000000,1509812640000000000,179.0,0.0,0.0,0.0,0.0,0.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hungary,0.0
8655984.0,216.0,8.0,4.0,11.0,2.0,3021092.0,0.0,4.0,11.0,2.0,2541353.0,261.0,194.0,45.8064,12.885,42.7393,12.3313,502.0,484.0,45.385622,12.975865,45.8174,13.1431,1.438494,0.698163,18.0,43.9908,11.2144,52.0,69.0,246.0,330.0,1509583620000000000,1511393100000000000,28626.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hungary,2.0
8665094.0,216.0,9.0,5.0,11.0,3.0,57458012.0,7.0,5.0,11.0,3.0,1103961.0,23.0,23.0,44.2544,9.5726,44.7806,10.3758,14.0,7.0,44.456294,10.929931,43.6257,10.6325,0.335234,0.72954,7.0,44.4481,9.9258,4.0,4.0,27.0,27.0,1509695940000000000,1509746640000000000,780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hungary,0.0
8665132.0,216.0,11.0,4.0,11.0,2.0,59844011.0,11.0,4.0,11.0,2.0,59844011.0,0.0,0.0,43.7401,10.773,43.849,10.4737,55.0,55.0,43.760856,10.92221,43.7608,10.8938,0.017811,0.231044,0.0,43.7401,10.773,5.0,5.0,5.0,5.0,1509622560000000000,1509823320000000000,3345.0,0.0,0.0,0.0,0.0,0.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hungary,0.0
8657131.0,216.0,11.0,5.0,11.0,3.0,3615856.0,0.0,5.0,11.0,3.0,49052013.0,38.0,29.0,44.5134,11.3815,44.529,11.2941,60.0,49.0,43.937503,11.218352,43.7835,11.2604,0.26326,0.362772,11.0,44.1192,11.4353,87.0,205.0,116.0,243.0,1509670140000000000,1509889020000000000,2709.0,0.0,0.0,0.0,0.0,0.0,2274.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,Hungary,0.0
